Név	Tárgy	Azonosító	Jelszó	Vkezd?	Ukezd?	Hanyadik	JelszóBet?	Jelszószám	
Földesi Béla	fizika	FBF6	U135	F	B	6	U	1135	
Baranyi Zsanett	angol	BZA5	U841	B	Z	5	U	1841	
Pepó Ervin	történelem	PET6	E702	P	E	6	E	1702	
Kiss Mátyás	informatika	KMI8	G157	K	M	8	G	1157	
Prónay Enik?	matematika	PEM14	H242	P	E	14	H	1242	
Petres Lajos	fizika	PLF7	D361	P	L	7	D	1361	
Kovács Ágnes	történelem	KÁT7	C049	K	Á	7	C	1049	
Bányai László	fizika	BLF8	W938	B	L	8	W	1938	
Kondász Kinga	fizika	KKF9	S697	K	K	9	S	1697	
Papp Attila	történelem	PAT8	U954	P	A	8	U	1954	
Tóth Anita	fizika	TAF10	N734	T	A	10	N	1734	
Halász Vid	fizika	HVF11	E023	H	V	11	E	1023	
Csala Krisztina	matematika	CKM15	V231	C	K	15	V	1231	
Nádasi Tamara	történelem	NTT9	H594	N	T	9	H	1594	
Vlad Péter	fizika	VPF12	W099	V	P	12	W	1099	
Pálos Elek	fizika	PEF13	R229	P	E	13	R	1229	
Bakó András	informatika	BAI9	P531	B	A	9	P	1531	
Barlai Gabriella	matematika	BGM16	G502	B	G	16	G	1502	
Jenet Róbert	történelem	JRT10	S886	J	R	10	S	1886	
Zsíros Ottó	informatika	ZOI10	F710	Z	O	10	F	1710	
Mind Ervin	informatika	MEI11	L045	M	E	11	L	1045	
Szécsi Zoltán	matematika	SZM17	F050	S	Z	17	F	1050	
Erdélyi Lajos	fizika	ELF14	T488	E	L	14	T	1488	
Csiszár Mercédesz	matematika	CMM18	W175	C	M	18	W	1175	
Pálinkó Eszter	informatika	PEI12	L614	P	E	12	L	1614	
Bild Csilla	informatika	BCI13	B475	B	C	13	B	1475	
Kovács Borbála	angol	KBA6	B854	K	B	6	B	1854	
Bereczki Anetta	matematika	BAM19	N360	B	A	19	N	1360	
Ladányi Kálmán	fizika	LKF15	V831	L	K	15	V	1831	
Erdélyi Péter	angol	EPA7	K328	E	P	7	K	1328	
Vidács Valentin	angol	VVA8	T040	V	V	8	T	1040	
Szednicsek Karl	történelem	SKT11	S982	S	K	11	S	1982	
Blazsetics Zoltán	informatika	BZI14	U968	B	Z	14	U	1968	
Jenet Timea	informatika	JTI15	Y749	J	T	15	Y	1749	
Almási Ádám	fizika	AÁF16	D593	A	Á	16	D	1593	
Szabó Nóra	történelem	SNT12	J573	S	N	12	J	1573	
Terbe László	informatika	TLI16	S405	T	L	16	S	1405	
Makra Csilla	informatika	MCI17	P173	M	C	17	P	1173	
Kolláth Ottó	történelem	KOT13	L871	K	O	13	L	1871	
Gyulai Márton	angol	GMA9	O030	G	M	9	O	1030	
Fábián Zoltán	informatika	FZI18	I103	F	Z	18	I	1103	
Pelesz Laura	fizika	PLF17	D759	P	L	17	D	1759	
Molnár Roland	informatika	MRI19	V211	M	R	19	V	1211	
Kovács Béla	történelem	KBT14	T441	K	B	14	T	1441	
Ferdinandy Ágnes	fizika	FÁF18	G366	F	Á	18	G	1366	
Rózsa Szabolcs	matematika	RSM20	I240	R	S	20	I	1240	
Hebling Ádám	fizika	HÁF19	E041	H	Á	19	E	1041	
Hajas Péter	matematika	HPM21	C003	H	P	21	C	1003	
Budai Endre	informatika	BEI20	I974	B	E	20	I	1974	
Kovács Gábor	matematika	KGM22	C102	K	G	22	C	1102	
Kosztolányi László	matematika	KLM23	S237	K	L	23	S	1237	
Erdélyi Imre	történelem	EIT15	C968	E	I	15	C	1968	
Báthori Attila	angol	BAA10	J194	B	A	10	J	1194	
Pölös Ditta	angol	PDA11	L592	P	D	11	L	1592	
Bodor Máté	angol	BMA12	M248	B	M	12	M	1248	
Fabó Tamás	angol	FTA13	J490	F	T	13	J	1490	
Ferke Dániel	angol	FDA14	Z711	F	D	14	Z	1711	
Müller Attila	történelem	MAT16	L887	M	A	16	L	1887	
Dobó Gusztáv	matematika	DGM24	A520	D	G	24	A	1520	
Hlavati Balázs	informatika	HBI21	M730	H	B	21	M	1730	
Nagy Zsolt	fizika	NZF20	W517	N	Z	20	W	1517	
